Issuance Date,Sustainable Development Goals,Vintage Start,Vintage End,ID,Name,Country/Area,Project Type,Total Vintage Quantity,Quantity Issued,Serial Number,Additional Certifications,Retirement/Cancellation Date,Retirement Beneficiary,Retirement Reason,Retirement Details
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,14/10/2020,31/12/2020,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"4,461",418,12620-421190880-421191297-VCS-VCU-1289-VER-ZM-3-2371-14102020-31122020-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,11/07/2022,Norman Disney & Young,Environmental Benefit,"Retired on behalf of Norman, Disney and Young to support carbon neutral claim for PAS 2060 for the Oct 20 – Sep 21 financial reporting year period."
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,14/10/2020,31/12/2020,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"4,461",5,12620-421191298-421191302-VCS-VCU-1289-VER-ZM-3-2371-14102020-31122020-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,08/03/2023,Invert Inc.,Retirement for Person or Organization,Offsetting emissions from Frost Fest and corporate retreat
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,14/10/2020,31/12/2020,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"4,461","1,000",12620-421192298-421193297-VCS-VCU-1289-VER-ZM-3-2371-14102020-31122020-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,02/10/2022,Acropolis Aviation,Environmental Benefit,Acropolis Aviation - Carbon offsetting of ACJ320neo G-KELT: Oct 2022 - Sep 2023. Part 1
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,14/10/2020,31/12/2020,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"4,461","1,000",12620-421193298-421194297-VCS-VCU-1289-VER-ZM-3-2371-14102020-31122020-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,01/04/2023,Acropolis Aviation,Environmental Benefit,Acropolis Aviation - Carbon offsetting of ACJ320neo G-KELT: Oct 2022 - Sep 2023. Part 2
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,14/10/2020,31/12/2020,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"4,461",11,12620-421191303-421191313-VCS-VCU-1289-VER-ZM-3-2371-14102020-31122020-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,08/03/2023,,,
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,14/10/2020,31/12/2020,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"4,461",4,12620-421191314-421191317-VCS-VCU-1289-VER-ZM-3-2371-14102020-31122020-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,14/03/2023,,,
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,14/10/2020,31/12/2020,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"4,461",15,12620-421191318-421191332-VCS-VCU-1289-VER-ZM-3-2371-14102020-31122020-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,16/03/2023,,,
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,14/10/2020,31/12/2020,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"4,461",2,12620-421191333-421191334-VCS-VCU-1289-VER-ZM-3-2371-14102020-31122020-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,10/05/2023,,,
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,14/10/2020,31/12/2020,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"4,461",120,12620-421194298-421194417-VCS-VCU-1289-VER-ZM-3-2371-14102020-31122020-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,19/01/2024,Amber Capital UK LLP,Environmental Benefit,2022 Offices- and Flight-related Emissions
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,14/10/2020,31/12/2020,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"4,461",2,12620-421191335-421191336-VCS-VCU-1289-VER-ZM-3-2371-14102020-31122020-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,15/08/2023,,,
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,14/10/2020,31/12/2020,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"4,461",15,12620-421191337-421191351-VCS-VCU-1289-VER-ZM-3-2371-14102020-31122020-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,06/09/2023,,,
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,14/10/2020,31/12/2020,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"4,461",300,12620-421191352-421191651-VCS-VCU-1289-VER-ZM-3-2371-14102020-31122020-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,15/12/2023,J.L. Richards & Associates Limited,Environmental Benefit,Offsetting J.L. Richards & Associates Limited 2022 Scope 1 and Scope 2 emissions.
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,14/10/2020,31/12/2020,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"4,461",15,12620-421191652-421191666-VCS-VCU-1289-VER-ZM-3-2371-14102020-31122020-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,28/03/2024,,,
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,14/10/2020,31/12/2020,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"4,461",923,12620-421194418-421195340-VCS-VCU-1289-VER-ZM-3-2371-14102020-31122020-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,,,,
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,14/10/2020,31/12/2020,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"4,461",4,12620-421191667-421191670-VCS-VCU-1289-VER-ZM-3-2371-14102020-31122020-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,28/03/2024,,,
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,14/10/2020,31/12/2020,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"4,461",15,12620-421191671-421191685-VCS-VCU-1289-VER-ZM-3-2371-14102020-31122020-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,28/03/2024,,,
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,14/10/2020,31/12/2020,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"4,461",300,12620-421191686-421191985-VCS-VCU-1289-VER-ZM-3-2371-14102020-31122020-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,12/09/2024,J.L. Richards & Associates Limited,Environmental Benefit,Offsetting J.L. Richards & Associates Limited’s 2023 Scope 1 and Scope 2 emissions.
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,14/10/2020,31/12/2020,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"4,461",312,12620-421191986-421192297-VCS-VCU-1289-VER-ZM-3-2371-14102020-31122020-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,,,,
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,01/01/2021,15/04/2021,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"13,856","1,340",12621-421195341-421196680-VCS-VCU-1289-VER-ZM-3-2371-01012021-15042021-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,19/04/2022,,,
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,01/01/2021,15/04/2021,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"13,856","8,500",12621-421196681-421205180-VCS-VCU-1289-VER-ZM-3-2371-01012021-15042021-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,03/05/2022,Apetito AG,Environmental Benefit,"Retired on behalf of Apetito AG, 2021"
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,01/01/2021,15/04/2021,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"13,856",196,12621-421205181-421205376-VCS-VCU-1289-VER-ZM-3-2371-01012021-15042021-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,03/11/2022,White arkitekter AB,Environmental Benefit,Retirement on behalf of White arkitekter AB
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,01/01/2021,15/04/2021,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"13,856",222,12621-421205377-421205598-VCS-VCU-1289-VER-ZM-3-2371-01012021-15042021-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,03/03/2023,,,
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,01/01/2021,15/04/2021,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"13,856",198,12621-421205599-421205796-VCS-VCU-1289-VER-ZM-3-2371-01012021-15042021-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,03/03/2023,,,
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,01/01/2021,15/04/2021,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"13,856",861,12621-421205797-421206657-VCS-VCU-1289-VER-ZM-3-2371-01012021-15042021-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,03/03/2023,,,
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,01/01/2021,15/04/2021,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"13,856",894,12621-421206658-421207551-VCS-VCU-1289-VER-ZM-3-2371-01012021-15042021-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,08/03/2024,,,
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,01/01/2021,15/04/2021,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"13,856",159,12621-421207552-421207710-VCS-VCU-1289-VER-ZM-3-2371-01012021-15042021-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,08/03/2024,,,
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,01/01/2021,15/04/2021,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"13,856",159,12621-421207711-421207869-VCS-VCU-1289-VER-ZM-3-2371-01012021-15042021-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,08/03/2024,,,
02/03/2022,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,01/01/2021,15/04/2021,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"13,856","1,327",12621-421207870-421209196-VCS-VCU-1289-VER-ZM-3-2371-01012021-15042021-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,,,,
28/02/2022,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2017,31/12/2017,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"181,419","12,237",12605-420335990-420348226-VCS-VCU-261-VER-CA-14-607-01012017-31122017-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,19/04/2022,,,
28/02/2022,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2017,31/12/2017,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"181,419",105,12605-420348227-420348331-VCS-VCU-261-VER-CA-14-607-01012017-31122017-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,10/03/2022,Proof Strategies Inc.,Retirement for Person or Organization,105 Verified Carbon Units purchased by Proof Strategies Inc. from the Nature Conservancy of Canada's Darkwoods Forest Carbon Project to offset 2021 GHG emissions.
28/02/2022,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2017,31/12/2017,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"181,419","20,000",12605-420348332-420368331-VCS-VCU-261-VER-CA-14-607-01012017-31122017-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,23/03/2022,Booking.com BV,Environmental Benefit,Retired on behalf of Booking.com BV
28/02/2022,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2017,31/12/2017,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"181,419",474,12605-420368332-420368805-VCS-VCU-261-VER-CA-14-607-01012017-31122017-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,08/04/2022,,,
28/02/2022,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2017,31/12/2017,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"181,419",103,12605-420368806-420368908-VCS-VCU-261-VER-CA-14-607-01012017-31122017-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,19/04/2022,UVic,Environmental Benefit,"Retired on behalf of Gustavson School of Business, UVic"
28/02/2022,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2017,31/12/2017,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"181,419","5,000",12605-420368909-420373908-VCS-VCU-261-VER-CA-14-607-01012017-31122017-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,01/06/2022,,,
28/02/2022,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2017,31/12/2017,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"181,419",6,12605-420373909-420373914-VCS-VCU-261-VER-CA-14-607-01012017-31122017-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,30/04/2022,Proof Experiences Inc.,Retirement for Person or Organization,6 Verified Carbon Units purchased by Proof Experiences Inc. from the Nature Conservancy of Canada's Darkwoods Forest Carbon Project to offset 2021 GHG emissions.
28/02/2022,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2017,31/12/2017,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"181,419",180,12605-420373915-420374094-VCS-VCU-261-VER-CA-14-607-01012017-31122017-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,30/04/2022,MCG Aviation Limited Partnership,Retirement for Person or Organization,180 VCUs from the Darkwoods Forest Carbon Project retired on behalf of MCG Aviation Limited Partnership to offset 2021 GHG emissions.
28/02/2022,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2017,31/12/2017,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"181,419",138,12605-420374095-420374232-VCS-VCU-261-VER-CA-14-607-01012017-31122017-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,02/05/2022,IG Climate Action Portfolios,Retirement for Person or Organization,"Retirement by The Nature Conservancy of Canada of 138 Darkwoods Forest Carbon Project VCUs purchased to offset the residual GHG emissions of IG Climate Action Portfolio-related investments, the transaction is facilitated by Mackenzie Financial Corporation"
28/02/2022,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2017,31/12/2017,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"181,419","1,500",12605-420374233-420375732-VCS-VCU-261-VER-CA-14-607-01012017-31122017-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,25/05/2022,,,
28/02/2022,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2017,31/12/2017,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"181,419","1,699",12605-420375733-420377431-VCS-VCU-261-VER-CA-14-607-01012017-31122017-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,14/07/2022,Blackcomb Helicopters Limited Partnership,Retirement for Person or Organization,"1,699 VCUs from the Darkwoods Forest Carbon Project retired on behalf of Blackcomb Helicopters Limited Partnership to offset GHG emissions from July 1 through December 31, 2021."
28/02/2022,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2017,31/12/2017,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"181,419",212,12605-420377432-420377643-VCS-VCU-261-VER-CA-14-607-01012017-31122017-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,14/07/2022,Vancouver Film Studios L.P.,Retirement for Person or Organization,212 VCUs from the Darkwoods Forest Carbon Project purchased and retired on behalf of Vancouver Film Studios L.P. to offset 2021 GHG emissions.
28/02/2022,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2017,31/12/2017,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"181,419","16,000",12605-420377644-420393643-VCS-VCU-261-VER-CA-14-607-01012017-31122017-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,14/07/2022,Banque Nationale du Canada,Retirement for Person or Organization,"Retirement of 16,000 VCUs, Vintage 2017, from the Darkwoods Forest Carbon Project to offset 2021 GHG emissions of Banque Nationale du Canada."
28/02/2022,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2017,31/12/2017,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"181,419",225,12605-420393644-420393868-VCS-VCU-261-VER-CA-14-607-01012017-31122017-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,18/10/2022,Mackenzie Financial Corporation,Retirement for Person or Organization,"Retirement by The Nature Conservancy of Canada of 225 Darkwoods Forest Carbon Project VCUs purchased to offset the residual GHG emissions of IG Climate Action Portfolio-related investments, the transaction is facilitated by Mackenzie Financial Corporation"
28/02/2022,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2017,31/12/2017,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"181,419","26,000",12605-420393869-420419868-VCS-VCU-261-VER-CA-14-607-01012017-31122017-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,20/07/2023,Nestlé,Environmental Benefit,Travel & Fleet Compensation
28/02/2022,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2017,31/12/2017,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"181,419","14,953",12605-420419869-420434821-VCS-VCU-261-VER-CA-14-607-01012017-31122017-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,04/11/2022,CAE Inc.,Retirement for Person or Organization,"Retirement of 14,953 Verified Carbon Units from the Darkwoods Forest carbon project purchased by CAE Inc.to offset Fiscal Year 2022 GHG emissions."
28/02/2022,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2017,31/12/2017,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"181,419",345,12605-420434822-420435166-VCS-VCU-261-VER-CA-14-607-01012017-31122017-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,04/11/2022,Mackenzie Financial Corporation,Retirement for Person or Organization,"Retirement by The Nature Conservancy of Canada of 345 Darkwoods Forest Carbon Project VCUs purchased to offset the residual GHG emissions of IG Climate Action Portfolio-related investments, the transaction is facilitated by Mackenzie Financial Corporation"
28/02/2022,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2017,31/12/2017,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"181,419",500,12605-420435167-420435666-VCS-VCU-261-VER-CA-14-607-01012017-31122017-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,23/03/2023,,,
28/02/2022,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2017,31/12/2017,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"181,419",315,12605-420435667-420435981-VCS-VCU-261-VER-CA-14-607-01012017-31122017-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,19/04/2023,Oughtred Coffee and Tea Ltd.,Retirement for Person or Organization,Retirement by The Nature Conservancy of Canada of 315 Darkwoods Forest Carbon Project VCUs purchased to offset the GHG emissions of Oughtred Coffee and Tea Ltd.
28/02/2022,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2017,31/12/2017,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"181,419",8,12605-420435982-420435989-VCS-VCU-261-VER-CA-14-607-01012017-31122017-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,,,,
